x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-4.1016e+05,NaN,NaN,0.24183
-3.9063e+05,NaN,NaN,0.24183
-3.7109e+05,NaN,NaN,0.24183
-3.5156e+05,NaN,NaN,0.24183
-3.3203e+05,NaN,NaN,0.24183
-3.125e+05,NaN,NaN,0.24183
-2.9297e+05,NaN,NaN,0.24183
-2.7344e+05,NaN,NaN,0.24183
-2.5391e+05,NaN,NaN,0.24183
-2.3438e+05,NaN,NaN,0.24183
-2.1484e+05,NaN,NaN,0.24183
-1.9531e+05,NaN,NaN,0.24183
-1.7578e+05,NaN,NaN,0.24183
-1.5625e+05,NaN,NaN,0.24183
-1.3672e+05,NaN,NaN,0.24183
-1.1719e+05,NaN,NaN,0.24183
-97656,NaN,NaN,0.24183
-78125,NaN,NaN,0.24183
-58594,NaN,NaN,0.24183
-39063,NaN,NaN,0.24183
-19531,NaN,NaN,0.24183
0,0.0050003,NaN,0.24183
19531,0.030002,781.21,0.24183
39063,0.050003,976.51,0.24183
58594,0.095005,434.01,0.24183
78125,0.19501,195.3,0.24183
97656,0.38502,102.79,0.24183
1.1719e+05,0.68503,65.101,0.24183
1.3672e+05,1.0901,48.223,0.24183
1.5625e+05,1.5751,40.269,0.24183
1.7578e+05,2.1051,36.85,0.24183
1.9531e+05,2.6651,34.875,0.24183
2.1484e+05,3.2402,33.966,0.24183
2.3438e+05,3.8302,33.102,0.24183
2.5391e+05,4.4302,32.55,0.24183
2.7344e+05,5.0303,32.55,0.24183
2.9297e+05,5.6353,32.281,0.24183
3.125e+05,6.2453,32.017,0.24183
3.3203e+05,6.8553,32.017,0.24183
3.5156e+05,7.4704,31.757,0.24183
3.7109e+05,8.0804,32.017,0.24183
3.9063e+05,8.6954,31.757,0.24183
4.1016e+05,9.3105,31.757,0.24183
4.2969e+05,9.9255,31.757,0.24183
4.4922e+05,10.541,31.757,0.24183
4.6875e+05,11.156,31.757,0.24183
4.8828e+05,11.771,31.757,0.24183
5.0781e+05,12.386,31.757,0.24183
5.2734e+05,13.001,31.757,0.24183
5.4688e+05,13.616,31.757,0.24183
5.6641e+05,14.231,31.757,0.24183
5.8594e+05,14.846,31.757,0.24183
6.0547e+05,15.461,31.757,0.24183
6.25e+05,16.076,31.757,0.24183
6.4453e+05,16.691,31.757,0.24183
6.6406e+05,17.301,32.017,0.24183
6.8359e+05,17.916,31.757,0.24183
7.0313e+05,18.531,31.757,0.24183
7.2266e+05,19.141,32.017,0.24183
7.4219e+05,19.756,31.757,0.24183
7.6172e+05,20.366,32.017,0.24183
7.8125e+05,20.981,31.757,0.24183
8.0078e+05,21.591,32.017,0.24183
8.2031e+05,22.201,32.017,0.24183
8.3984e+05,22.816,31.757,0.24183
8.5938e+05,23.426,32.017,0.24183
8.7891e+05,24.036,32.017,0.24183
8.9844e+05,24.646,32.017,0.24183
9.1797e+05,25.256,32.017,0.24183
9.375e+05,25.866,32.017,0.24183
9.5703e+05,26.476,32.017,0.24183
9.7656e+05,27.086,32.017,0.24183
9.9609e+05,27.696,32.017,0.24183
1.0156e+06,28.306,32.017,0.24183
1.0352e+06,28.916,32.017,0.24183
1.0547e+06,29.526,32.017,0.24183
1.0742e+06,30.132,32.281,0.24183
1.0938e+06,30.742,32.017,0.24183
1.1133e+06,31.352,32.017,0.24183
1.1328e+06,31.957,32.281,0.24183
1.1523e+06,32.567,32.017,0.24183
1.1719e+06,33.172,32.281,0.24183
1.1914e+06,33.782,32.017,0.24183
1.2109e+06,34.387,32.281,0.24183
1.2305e+06,34.997,32.017,0.24183
1.25e+06,35.602,32.281,0.24183
1.2695e+06,36.207,32.281,0.24183
1.2891e+06,36.817,32.017,0.24183
1.3086e+06,37.422,32.281,0.24183
1.3281e+06,38.027,32.281,0.24183
1.3477e+06,38.637,32.017,0.24183
1.3672e+06,39.242,32.281,0.24183
1.3867e+06,39.847,32.281,0.24183
1.4063e+06,40.452,32.281,0.24183
1.4258e+06,41.057,32.281,0.24183
1.4453e+06,41.662,32.281,0.24183
1.4648e+06,42.267,32.281,0.24183
1.4844e+06,42.872,32.281,0.24183
