x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
9.1797e+05,9.4155,88.774,0.24183
9.375e+05,9.6355,88.774,0.24183
9.5703e+05,9.8555,88.774,0.24183
9.7656e+05,10.076,88.774,0.24183
9.9609e+05,10.296,88.774,0.24183
1.0156e+06,10.516,88.774,0.24183
1.0352e+06,10.736,88.774,0.24183
1.0547e+06,10.956,88.774,0.24183
1.0742e+06,11.171,90.838,0.24183
1.0938e+06,11.391,88.774,0.24183
1.1133e+06,11.611,88.774,0.24183
1.1328e+06,11.831,88.774,0.24183
1.1523e+06,12.051,88.774,0.24183
1.1719e+06,12.271,88.774,0.24183
1.1914e+06,12.486,90.838,0.24183
1.2109e+06,12.706,88.774,0.24183
1.2305e+06,12.926,88.774,0.24183
1.25e+06,13.146,88.774,0.24183
1.2695e+06,13.361,90.838,0.24183
1.2891e+06,13.581,88.774,0.24183
1.3086e+06,13.801,88.774,0.24183
1.3281e+06,14.021,88.774,0.24183
1.3477e+06,14.236,90.838,0.24183
1.3672e+06,14.456,88.774,0.24183
1.3867e+06,14.676,88.774,0.24183
1.4063e+06,14.891,90.838,0.24183
1.4258e+06,15.111,88.774,0.24183
1.4453e+06,15.331,88.774,0.24183
1.4648e+06,15.546,90.838,0.24183
1.4844e+06,15.766,88.774,0.24183
1.5039e+06,15.981,90.838,0.24183
1.5234e+06,16.201,88.774,0.24183
1.543e+06,16.416,90.838,0.24183
1.5625e+06,16.636,88.774,0.24183
1.582e+06,16.856,88.774,0.24183
1.6016e+06,17.071,90.838,0.24183
1.6211e+06,17.291,88.774,0.24183
1.6406e+06,17.506,90.838,0.24183
1.6602e+06,17.726,88.774,0.24183
1.6797e+06,17.941,90.838,0.24183
1.6992e+06,18.161,88.774,0.24183
1.7188e+06,18.376,90.838,0.24183
1.7383e+06,18.596,88.774,0.24183
1.7578e+06,18.811,90.838,0.24183
1.7773e+06,19.031,88.774,0.24183
1.7969e+06,19.246,90.838,0.24183
1.8164e+06,19.466,88.774,0.24183
1.8359e+06,19.681,90.838,0.24183
1.8555e+06,19.896,90.838,0.24183
1.875e+06,20.116,88.774,0.24183
1.8945e+06,20.331,90.838,0.24183
1.9141e+06,20.551,88.774,0.24183
1.9336e+06,20.766,90.838,0.24183
1.9531e+06,20.981,90.838,0.24183
1.9727e+06,21.201,88.774,0.24183
1.9922e+06,21.416,90.838,0.24183
2.0117e+06,21.636,88.774,0.24183
2.0313e+06,21.851,90.838,0.24183
2.0508e+06,22.066,90.838,0.24183
2.0703e+06,22.286,88.774,0.24183
2.0898e+06,22.501,90.838,0.24183
2.1094e+06,22.716,90.838,0.24183
2.1289e+06,22.936,88.774,0.24183
2.1484e+06,23.151,90.838,0.24183
2.168e+06,23.371,88.774,0.24183
2.1875e+06,23.586,90.838,0.24183
2.207e+06,23.801,90.838,0.24183
2.2266e+06,24.016,90.838,0.24183
2.2461e+06,24.236,88.774,0.24183
2.2656e+06,24.451,90.838,0.24183
